Age,J02.0,J03.0,J36,L01,L02,L03,L04,L08,A46,A38,A40.0,A48.3,A49.1,G00.2,J15.4,M72.6,M86.1,O85,M00.2,N00,I00_I02.1st,I00_I02.all
0-4,139,166,36,912,6048,6825,1373,781,23,140,71,6,155,138,57,3,713,0,60,121,15,19
5-9,236,203,73,405,3260,3496,513,174,11,151,15,8,29,10,23,3,777,0,22,268,434,608
10-19,340,561,1608,295,6966,5885,345,313,14,46,31,34,10,9,27,18,1181,515,63,180,903,1263
20-29,213,473,1789,170,7893,7033,178,277,16,8,31,12,20,7,15,44,340,2183,61,38,43.82519935,75.53611595
30-39,139,273,1343,95,6679,8119,141,260,24,1,55,7,16,12,18,69,382,1375,47,26,41.84812809,72.12848093
40-49,73,106,822,58,6343,10706,141,293,72,3,78,7,27,18,36,102,540,137,58,22,48.5016089,83.596269
50-59,34,41,402,37,3893,11800,79,275,115,0,102,2,23,24,38,100,779,0,79,27,44.7316864,77.0985164
60-69,16,18,135,26,2275,10993,59,236,116,0,150,5,39,21,47,87,608,0,95,21,34.27163073,59.06980256
70-79,8,4,66,12,1270,10342,29,231,49,0,142,0,46,13,67,56,568,0,95,16,20.49585432,35.32618793
80+,3,3,11,17,764,12661,24,240,45,0,169,1,61,4,73,45,436,0,91,5,12.32589222,21.24462723
