age,death.ind
0,0.007829
1,0.001566
2,0.001566
3,0.001566
4,0.001566
5,0.000975
6,0.000975
7,0.000975
8,0.000975
9,0.000975
10,0.001101
11,0.001101
12,0.001101
13,0.001101
14,0.001101
15,0.004390
16,0.004390
17,0.004390
18,0.004390
19,0.004390
20,0.005976
21,0.005976
22,0.005976
23,0.005976
24,0.005976
25,0.008245
26,0.008245
27,0.008245
28,0.008245
29,0.008245
30,0.011239
31,0.011239
32,0.011239
33,0.011239
34,0.011239
35,0.017604
36,0.017604
37,0.017604
38,0.017604
39,0.017604
40,0.023855
41,0.023855
42,0.023855
43,0.023855
44,0.023855
45,0.031481
46,0.031481
47,0.031481
48,0.031481
49,0.031481
50,0.044418
51,0.044418
52,0.044418
53,0.044418
54,0.044418
55,0.061294
56,0.061294
57,0.061294
58,0.061294
59,0.061294
60,0.094661
61,0.094661
62,0.094661
63,0.094661
64,0.094661
65,0.131159
66,0.131159
67,0.131159
68,0.131159
69,0.131159
70,0.206536
71,0.206536
72,0.206536
73,0.206536
74,0.206536
75,0.278633
76,0.278633
77,0.278633
78,0.278633
79,0.278633
80,0.378130
81,0.378130
82,0.378130
83,0.378130
84,0.378130
85,1.000000
86,1.000000
87,1.000000
88,1.000000
89,1.000000
90,1.000000
91,1.000000
92,1.000000
93,1.000000
94,1.000000
95,1.000000
96,1.000000
97,1.000000
98,1.000000
99,1.000000
100,1.000000
